id,kode_provinsi,nama_provinsi,persentase_penduduk_miskin,satuan,tahun,id_gini,kode_provinsi_gini,semester,gini_ratio,satuan_gini,id_tpt,kode_provinsi_tpt,daerah,tingkat_penganggur_terbuka,satuan_tpt,id_ipm,kode_provinsi_ipm,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,indeks_pembangunan_manusia,satuan_ipm,kemiskinan_tahun_depan,rata_rata_inflasi_tahunan
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,48,32,3276,KOTA DEPOK,PEREMPUAN,78.66,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,49,32,3277,KOTA CIMAHI,LAKI-LAKI,81.5,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,50,32,3277,KOTA CIMAHI,PEREMPUAN,75.27,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,51,32,3278,KOTA TASIKMALAYA,LAKI-LAKI,75.48,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,52,32,3278,KOTA TASIKMALAYA,PEREMPUAN,68.74,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,53,32,3279,KOTA BANJAR,LAKI-LAKI,76.12,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,54,32,3279,KOTA BANJAR,PEREMPUAN,66.31,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,1,32,3201,KABUPATEN BOGOR,LAKI-LAKI,74.53,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,2,32,3201,KABUPATEN BOGOR,PEREMPUAN,66.37,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,3,32,3202,KABUPATEN SUKABUMI,LAKI-LAKI,71.57,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,4,32,3202,KABUPATEN SUKABUMI,PEREMPUAN,62.23,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,5,32,3203,KABUPATEN CIANJUR,LAKI-LAKI,69.24,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,6,32,3203,KABUPATEN CIANJUR,PEREMPUAN,57.97,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,7,32,3204,KABUPATEN BANDUNG,LAKI-LAKI,74.91,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,8,32,3204,KABUPATEN BANDUNG,PEREMPUAN,70.11,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,9,32,3205,KABUPATEN GARUT,LAKI-LAKI,69.89,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,10,32,3205,KABUPATEN GARUT,PEREMPUAN,57.6,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,11,32,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,69.71,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,12,32,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,59.94,POIN,7.45,"18,575"
